# BNB Addresses

[TOKENS]
WBNB: 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c
BUSD: 0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56
ETH: 0x2170Ed0880ac9A755fd29B2688956BD959F933F8
USDT: 0x55d398326f99059fF775485246999027B3197955
USDC: 0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d
DAI: 0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3
BTCB: 0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c
SDO: 0xca8cd003E3e8F5159fd28C2b2582360167921b0D
TRUNK: 0xdd325C38b12903B727D16961e61333f4871A70E0

[WBNB PAIRS]
WBNB-BUSD: 0x90e881E6Cde35c6AcDEf8b11EAF132EcC7e6a548
WBNB-ETH: 0x3F297FB7D08018ecA11871d7B9c2D019276Ba968
WBNB-USDT: 0x124F9a48fDfe1c6A0a98f929B186D67952a5c8D0
WBNB-USDC: 0x2A2503b8Ba9466E9590a9799B48b59E7D99623F3
WBNB-DAI: 0xBE99F82CC7FD8379025AF7F8E8638b366237c1cB
WBNB-BTCB: 0xea0613f4Bf4660071E5644041Ea0519320Fd89a6

[BUSD PAIRS]
BUSD-USDT: 0xa545D6E60E5dDe1755890B02C498C471aF138076
BUSD-USDC: 0xb10A160f0D2D4A7089D2cc0D67415fdD62aa2caF
BUSD-DAI: 0xB2f5A9F52C2c9011B59316BD1971b3E9b86ACD71
